planet_name,planet_status,mass,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name
CoRoT-18 b,Confirmed,3.47,1.9000693,0.0295,0.08,2011,Primary Transit,CoRoT-18
CoRoT-19 b,Confirmed,1.11,3.89713,0.0518,0.047,2011,Primary Transit,CoRoT-19
CoRoT-2 b,Confirmed,3.31,1.7429964,0.0281,0,2007,Primary Transit,CoRoT-2
CoRoT-20 b,Confirmed,4.24,9.24285,0.0902,0.562,2011,Primary Transit,CoRoT-20
CoRoT-21 b,Confirmed,2.26,2.72474,0.0417,0,2011,Primary Transit,CoRoT-21
CoRoT-22 b,Confirmed,0.0383853,9.75598,0.092,0.077,2011,Primary Transit,CoRoT-22
CoRoT-23 b,Confirmed,2.8,3.6314,0.0477,0.16,2011,Primary Transit,CoRoT-23
CoRoT-24 b,Confirmed,0.018,5.1134,0.056,0,2011,Primary Transit,CoRoT-24
CoRoT-24 c,Confirmed,0.088,11.759,0.098,0,2011,Primary Transit,CoRoT-24
CoRoT-26 b,Confirmed,0.52,4.20474,0.0526,0,2012,Primary Transit,CoRoT-26
CoRoT-27 b,Confirmed,10.39,3.57532,0.0476,0.065,2012,Primary Transit,CoRoT-27
CoRoT-28 b,Confirmed,0.484,5.20851,0.059,0.047,2012,Primary Transit,CoRoT-28
CoRoT-29 b,Confirmed,0.85,2.85057,0.039,0.082,2012,Primary Transit,CoRoT-29
CoRoT-3 b,Confirmed,21.77,4.2567994,0.057,0,2008,Primary Transit,CoRoT-3
CoRoT-30 b,Confirmed,2.84,9.06005,0.084,0.007,2017,Primary Transit,CoRoT-30
CoRoT-31 b,Confirmed,0.84,4.62941,0.0586,0.02,2017,Primary Transit,CoRoT-31
CoRoT-33 b,Confirmed,59.2,5.819143,0.0579,0.07,2015,Primary Transit,CoRoT-33
CoRoT-4 b,Confirmed,0.72,9.20205,0.09,0,2008,Primary Transit,CoRoT-4
CoRoT-5 b,Confirmed,0.467,4.0378962,0.04947,0.09,2008,Primary Transit,CoRoT-5
CoRoT-6 b,Confirmed,2.96,8.886593,0.0855,0.1,2009,Primary Transit,CoRoT-6
CoRoT-7 b,Confirmed,0.0149,0.853585,0.0172,0.12,2009,Primary Transit,CoRoT-7
CoRoT-7 c,Confirmed,0.04266,3.698,0.046,0.12,2009,Radial Velocity,CoRoT-7
