star_name,ra,dec,class
HR 6994,18 47 49.39,-77 52 01.9,STAR F8V
HR 5306,14 16 54.89,-77 39 50.0,STAR K2II
HR 8370,22 01 52.10,-77 39 45.0,STAR A5IV
HR 1531,04 38 21.70,-77 39 22.0,STAR K2III
HR 3000,07 36 04.20,-77 38 03.1,STAR M0III
HR 4397,11 21 57.10,-77 36 29.9,STAR A5III
HR 5082,13 33 14.81,-77 34 05.9,STAR F6V
HR 6163,16 43 04.61,-77 31 03.0,STAR K0III
HR 8471,22 17 50.50,-77 30 42.1,STAR F3III
HR 3340,08 20 38.50,-77 29 03.8,STAR K2III
HR 87  ,00 21 28.61,-77 25 36.8,STAR K3III
HR 8254,21 41 28.49,-77 23 24.0,STAR K0III
HR 1025,03 15 57.60,-77 23 17.9,STAR F4III
HR 8935,23 33 19.49,-77 23 07.1,STAR G2V
HR 98  ,00 25 45.10,-77 15 15.1,STAR G2IV
HR 5547,15 00 11.81,-77 09 37.1,STAR G8II
HR 9084,00 01 35.71,-77 03 56.9,STAR K3III
HR 8664,22 49 40.90,-77 03 02.2,STAR A4V
HR 8021,21 04 43.01,-77 01 26.0,STAR A7III
HR 3318,08 18 31.61,-76 55 10.9,STAR F5III
HR 8957,23 38 24.10,-76 52 12.0,STAR K0III
HR 5261,14 05 19.80,-76 47 48.1,STAR M6III
HR 3902,09 46 20.59,-76 46 34.0,STAR G8III
HR 5389,14 29 36.79,-76 43 45.1,STAR K0III
HR 3695,09 12 12.31,-76 39 47.2,STAR K1III
HR 5540,14 57 52.90,-76 39 46.1,STAR K4III
HR 4605,12 04 46.51,-76 31 09.1,STAR K4III
HR 1953,05 31 52.90,-76 20 28.0,STAR K2III
HR 4170,10 35 24.79,-76 18 33.1,STAR K2III
HR 8052,21 08 47.90,-76 12 45.0,STAR K1III
HR 7863,20 42 02.90,-76 10 50.2,STAR F4III
HR 6635,17 57 41.81,-76 10 39.0,STAR K2III
HR 8380,22 03 03.79,-76 07 07.0,STAR F3III
HR 8432,22 11 55.30,-76 06 58.0,STAR K0III
HR 5786,15 41 54.60,-76 04 54.8,STAR B9V
HR 58  ,00 15 55.20,-75 54 41.0,STAR G8III
HR 4479,11 37 15.60,-75 53 48.1,STAR F1III
HR 6731,18 11 15.70,-75 53 29.0,STAR K2III
HR 8420,22 10 42.50,-75 52 50.2,STAR K2III
HR 5115,13 39 11.90,-75 41 02.0,STAR B8IV
HR 4804,12 39 14.50,-75 22 09.8,STAR B8V
HR 4617,12 07 49.80,-75 22 00.8,STAR K2II
HR 7864,20 41 43.70,-75 21 02.2,STAR G5III
HR 8111,21 18 16.10,-75 20 48.1,STAR A1V
HR 4387,11 19 36.29,-75 08 33.0,STAR B9V
HR 4279,10 57 15.70,-75 05 58.9,STAR K1II
HR 872 ,02 50 28.51,-75 04 00.8,STAR K3III
HR 6829,18 23 36.10,-75 02 39.1,STAR A0V
HR 5555,14 59 55.99,-75 01 57.0,STAR B9V
HR 8526,22 25 51.00,-75 00 56.2,STAR G3V
HR 1629,04 55 11.21,-74 56 12.8,STAR K4III
HR 236 ,00 48 35.40,-74 55 23.9,STAR K5III
