star_name,ra,dec,class
HR 4384,11 19 16.51,-64 34 57.0,STAR F6IV
HR 5130,13 40 10.90,-64 34 36.8,STAR F3III
HR 7004,18 43 37.20,-64 33 04.0,STAR K0III
HR 6740,18 07 48.31,-64 33 00.0,STAR K2III
HR 5041,13 24 00.50,-64 32 08.9,STAR G6II
HR 5725,15 27 33.10,-64 31 53.0,STAR K5III
HR 4219,10 46 16.51,-64 30 54.0,STAR B6V
HR 2888,07 28 51.31,-64 30 36.0,STAR K5III
HR 3632,09 06 07.61,-64 29 58.9,STAR K3III
HR 3948,09 57 15.19,-64 29 21.8,STAR K0III
HR 5048,13 25 13.90,-64 29 07.1,STAR F2III
HR 2104,05 54 11.90,-64 28 55.9,STAR F0III
HR 4196,10 42 13.99,-64 27 59.0,STAR B4V
HR 880 ,02 54 20.90,-64 26 08.2,STAR K2III
HR 4653,12 14 16.80,-64 24 31.0,STAR B1I
HR 8996,23 44 12.00,-64 24 15.8,STAR K2II
HR 4199,10 42 57.41,-64 23 39.8,STAR B0V
HR 4222,10 46 51.19,-64 22 59.9,STAR B3IV
HR 420 ,01 25 05.30,-64 22 09.8,STAR K5III
HR 4744,12 28 18.91,-64 20 29.0,STAR A0V
HR 4578,11 58 47.69,-64 20 21.1,STAR A3I
HR 734 ,02 28 04.39,-64 17 58.9,STAR A0V
HR 9062,23 57 35.21,-64 17 53.9,STAR A1V
HR 798 ,02 39 31.70,-64 16 54.8,STAR B8V
HR 4220,10 46 29.69,-64 15 47.9,STAR B7IV
HR 4204,10 43 51.19,-64 14 56.0,STAR B2V
HR 1917,05 32 59.59,-64 13 39.0,STAR G8III
HR 1294,04 07 21.60,-64 13 21.0,STAR G3V
HR 4120,10 28 52.61,-64 10 19.9,STAR M0III
HR 4355,11 12 45.19,-64 10 10.9,STAR B8V
HR 3298,08 21 07.70,-64 06 22.0,STAR G6III
HR 909 ,02 58 47.81,-64 04 17.0,STAR A3III
HR 6109,16 27 57.31,-64 03 29.2,STAR F4IV
HR 2073,05 51 22.99,-64 02 01.0,STAR G8III
HR 5593,15 04 48.19,-64 01 54.1,STAR G8III
HR 4679,12 18 26.09,-64 00 11.2,STAR B2V
HR 4413,11 25 43.20,-63 58 22.1,STAR F7V
HR 4205,10 44 06.89,-63 57 40.0,STAR B5V
HR 8073,21 08 32.90,-63 55 44.0,STAR K0III
HR 1882,05 30 15.91,-63 55 40.1,STAR F0IV
HR 6828,18 19 40.20,-63 53 12.8,STAR F9V
HR 2360,06 24 55.61,-63 49 40.1,STAR B6V
HR 5527,14 52 34.99,-63 48 36.0,STAR G3II
HR 3217,08 08 24.50,-63 48 04.0,STAR B6V
HR 4736,12 27 24.60,-63 47 21.1,STAR B8IV
HR 4537,11 49 41.09,-63 47 17.9,STAR B3V
HR 5939,16 01 10.70,-63 46 36.1,STAR F8II
HR 833 ,02 45 27.50,-63 42 15.8,STAR G8III
HR 6796,18 14 16.20,-63 41 21.8,STAR K4III
HR 5241,13 57 38.90,-63 41 12.1,STAR K1III
HR 6030,16 15 26.30,-63 41 08.2,STAR G2I
HR 2337,06 23 01.30,-63 40 59.2,STAR M1III
HR 6745,18 08 34.80,-63 40 05.9,STAR A7
HR 5623,15 09 25.49,-63 38 34.1,STAR A0
HR 5666,15 17 38.90,-63 36 38.2,STAR K2III
HR 3159,08 00 19.99,-63 34 03.0,STAR B3V
HR 4771,12 31 55.80,-63 30 22.0,STAR A8III
HR 1236,03 56 04.01,-63 27 49.0,STAR K1III
HR 5897,15 55 08.50,-63 25 50.2,STAR F2III
HR 2354,06 24 26.30,-63 25 44.0,STAR G3III
HR 7707,20 14 26.90,-63 24 56.9,STAR F0IV
HR 1695,05 07 34.01,-63 23 58.9,STAR M3III
HR 1395,04 21 53.30,-63 23 11.0,STAR G8III
HR 4599,12 03 01.51,-63 18 46.1,STAR A0
HR 4972,13 11 53.11,-63 18 10.1,STAR A8II
HR 3139,07 57 12.50,-63 17 48.8,STAR B8V
HR 4563,11 54 59.81,-63 16 44.0,STAR A3I
HR 6253,16 55 24.70,-63 16 10.9,STAR A0III
HR 1372,04 17 40.20,-63 15 20.2,STAR B9III
HR 7732,20 19 03.00,-63 13 52.0,STAR K0III
HR 1540,04 44 57.89,-63 13 46.9,STAR K0III
HR 5289,14 08 14.30,-63 12 29.2,STAR G8III
HR 2754,07 12 01.99,-63 11 24.0,STAR A0IV
HR 8689,22 52 09.91,-63 11 19.0,STAR K0III
HR 4603,12 04 19.20,-63 09 56.2,STAR B2IV
HR 6089,16 25 22.01,-63 07 28.9,STAR A1V
HR 4729,12 26 30.91,-63 07 21.0,STAR B4IV
HR 8919,23 29 01.01,-63 06 38.9,STAR A0
HR 4731,12 26 36.50,-63 05 57.8,STAR B1V
HR 4730,12 26 35.90,-63 05 57.1,STAR B0IV
HR 2102,05 54 06.10,-63 05 24.0,STAR K1III
HR 4830,12 42 50.30,-63 03 31.0,STAR B1III
HR 6805,18 15 40.90,-63 03 20.2,STAR K0III
HR 6471,17 28 07.70,-63 02 11.0,STAR B7V
HR 136 ,00 32 43.80,-63 01 52.0,STAR A0V
HR 6871,18 25 31.51,-63 01 17.0,STAR A3V
HR 4467,11 35 46.80,-63 01 10.9,STAR B9III
HR 127 ,00 31 33.60,-62 57 56.9,STAR A2V
HR 126 ,00 31 32.71,-62 57 29.2,STAR B9V
HR 9060,23 57 19.90,-62 57 23.0,STAR A1IV
HR 4644,12 12 22.01,-62 57 02.9,STAR B8I
HR 1083,03 29 22.70,-62 56 15.0,STAR F5IV
HR 3260,08 15 15.91,-62 54 56.9,STAR A2V
HR 866 ,02 52 19.20,-62 54 34.9,STAR K1III
HR 7872,20 39 51.41,-62 54 28.1,STAR K1III
HR 4513,11 43 52.90,-62 52 41.9,STAR A2III
HR 5482,14 45 17.30,-62 52 32.9,STAR A9V
HR 257 ,00 53 37.90,-62 52 17.0,STAR M4III
HR 6440,17 24 01.10,-62 51 51.1,STAR B2IV
HR 3432,08 37 18.79,-62 51 13.0,STAR K0III
HR 9023,23 49 44.69,-62 50 21.8,STAR K5III
HR 3186,08 04 42.89,-62 50 10.0,STAR B2V
HR 1475,04 33 34.01,-62 49 25.0,STAR K1III
HR 852 ,02 49 01.49,-62 48 24.1,STAR A2V
HR 7111,18 56 54.70,-62 48 04.0,STAR K3III
HR 3816,09 32 14.59,-62 47 20.0,STAR M6III
HR 5551,14 56 43.99,-62 46 50.9,STAR B4V
HR 3914,09 50 55.70,-62 44 43.1,STAR K1III
HR 8829,23 14 06.60,-62 42 00.0,STAR G8V
HR 4541,11 50 27.19,-62 38 57.8,STAR A2I
HR 5884,15 53 22.80,-62 36 24.8,STAR K3III
HR 5171,13 47 10.70,-62 35 24.0,STAR K0I
HR 762 ,02 33 33.60,-62 35 12.8,STAR B9V
HR 1006,03 17 46.20,-62 34 31.1,STAR G2V
HR 5951,16 02 52.39,-62 32 30.1,STAR B9V
HR 1435,04 27 45.91,-62 31 14.9,STAR K0III
HR 3884,09 45 14.81,-62 30 28.1,STAR G5I
HR 1010,03 18 12.89,-62 30 23.0,STAR G1V
HR 199 ,00 44 32.30,-62 29 52.1,STAR F5III
HR 1922,05 33 37.49,-62 29 22.9,STAR F6I
HR 4511,11 43 31.20,-62 29 21.8,STAR G0I
HR 1336,04 14 25.51,-62 28 26.0,STAR G8II
HR 4573,11 57 40.10,-62 26 56.0,STAR B3V
HR 7959,20 51 38.30,-62 25 45.1,STAR A2IV
HR 7960,20 51 38.81,-62 25 45.1,STAR A2IV
HR 4325,11 06 32.40,-62 25 27.1,STAR G8III
HR 3728,09 20 56.81,-62 24 16.9,STAR G6III
HR 3663,09 11 16.61,-62 19 01.9,STAR B3III
HR 1867,05 29 17.40,-62 18 51.8,STAR K4III
HR 6916,18 31 22.39,-62 16 41.9,STAR B7III
HR 3776,09 28 46.99,-62 16 23.2,STAR K1III
HR 1340,04 14 48.70,-62 11 30.8,STAR K0III
HR 7074,18 52 13.01,-62 11 15.0,STAR B2II
HR 1264,04 00 53.81,-62 09 33.8,STAR M4III
HR 3967,10 02 49.39,-62 09 23.0,STAR K3I
HR 2196,06 07 03.41,-62 09 16.9,STAR K2III
HR 4499,11 40 53.59,-62 05 24.0,STAR G3I
HR 1492,04 36 45.60,-62 04 39.0,STAR M8III
HR 6761,18 10 26.11,-62 00 07.9,STAR G0V
HR 8843,23 16 57.70,-62 00 04.0,STAR F7V
HR 8582,22 33 00.10,-61 58 55.9,STAR M4III
HR 3752,09 25 27.10,-61 57 01.1,STAR A4V
HR 4338,11 08 34.01,-61 56 49.9,STAR B9I
HR 2550,06 48 11.40,-61 56 29.0,STAR A7IV
HR 8352,21 55 11.50,-61 53 11.0,STAR F1III
HR 3971,10 03 34.30,-61 53 02.0,STAR B7IV
HR 2410,06 31 10.61,-61 52 46.9,STAR B3V
HR 4790,12 35 28.99,-61 50 30.8,STAR G3III
HR 4266,10 54 29.59,-61 49 36.1,STAR K4III
HR 4487,11 38 07.30,-61 49 35.0,STAR A0
HR 4747,12 28 25.49,-61 47 43.1,STAR K2III
HR 332 ,01 07 18.70,-61 46 31.1,STAR G5III
HR 5645,15 13 01.01,-61 44 38.0,STAR K4I
HR 5113,13 37 12.19,-61 41 30.8,STAR F6V
HR 4140,10 32 01.39,-61 41 07.1,STAR B4V
HR 8669,22 48 21.41,-61 41 03.1,STAR K0III
HR 6356,17 10 06.29,-61 40 32.2,STAR B8II
HR 4022,10 13 21.19,-61 39 32.0,STAR B2V
HR 3742,09 24 05.69,-61 38 56.0,STAR K0III
HR 6125,16 30 49.39,-61 38 01.0,STAR K0II
HR 591 ,01 58 46.20,-61 34 10.9,STAR F0V
HR 3999,10 09 21.89,-61 32 57.1,STAR M2III
HR 2468,06 38 00.60,-61 31 59.2,STAR G1V
HR 7859,20 37 35.30,-61 31 48.0,STAR F5
HR 6855,18 23 13.61,-61 29 38.0,STAR K4III
HR 5252,14 00 17.30,-61 28 53.0,STAR F1III
HR 5632,15 10 44.59,-61 25 21.0,STAR G2V
HR 1247,03 58 44.69,-61 24 01.1,STAR M2III
HR 4128,10 30 39.19,-61 21 22.0,STAR M2III
HR 4050,10 17 04.99,-61 19 55.9,STAR K3II
HR 3856,09 39 21.00,-61 19 41.2,STAR B9IV
HR 4290,10 59 13.99,-61 19 13.1,STAR B8IV
HR 3220,08 09 00.70,-61 18 09.0,STAR F5V
HR 4475,11 37 00.60,-61 16 59.9,STAR K0III
HR 4438,11 31 15.00,-61 16 41.9,STAR A3I
HR 4634,12 11 04.90,-61 16 39.0,STAR F2IV
HR 5349,14 19 51.50,-61 16 23.2,STAR A0
HR 1416,04 25 05.30,-61 14 17.9,STAR K4III
HR 4522,11 46 30.79,-61 10 41.9,STAR G5I
HR 1936,05 34 57.60,-61 10 32.9,STAR G5IV
HR 7558,19 54 40.39,-61 10 14.9,STAR A4V
HR 4415,11 26 35.30,-61 06 55.1,STAR B3IV
HR 7015,18 45 11.50,-61 05 42.0,STAR K3III
HR 1266,04 01 18.19,-61 04 44.0,STAR K4III
HR 7527,19 50 21.70,-61 03 41.0,STAR B5V
HR 4472,11 36 22.30,-61 03 07.9,STAR B2IV
HR 1096,03 32 51.60,-61 01 00.8,STAR K0III
HR 6167,16 38 52.70,-60 59 25.1,STAR B7V
HR 5035,13 22 37.90,-60 59 17.9,STAR B3V
HR 4151,10 34 12.91,-60 59 16.1,STAR K2III
HR 4842,12 45 37.90,-60 58 52.0,STAR K0III
HR 5034,13 22 35.69,-60 58 19.9,STAR B2V
HR 4607,12 04 57.10,-60 58 09.1,STAR M2III
HR 3604,09 00 45.70,-60 57 50.0,STAR G8II
HR 5664,15 16 56.71,-60 57 27.0,STAR O8V
HR 1357,04 16 21.10,-60 56 55.0,STAR A0
HR 5661,15 16 36.41,-60 54 14.0,STAR B0V
HR 571 ,01 55 46.39,-60 51 41.0,STAR F0IV
HR 4622,12 08 24.60,-60 50 49.9,STAR K3II
HR 5460,14 39 36.10,-60 50 08.2,STAR K1V
HR 5459,14 39 35.90,-60 50 07.1,STAR G2V
HR 3147,07 58 50.50,-60 49 27.8,STAR B2IV
HR 505 ,01 41 48.00,-60 47 21.8,STAR K2III
HR 5898,15 54 52.61,-60 44 35.9,STAR B9II
HR 281 ,00 58 22.39,-60 41 47.0,STAR A0
HR 6500,17 31 05.90,-60 41 02.0,STAR B8V
HR 6447,17 24 18.70,-60 40 25.0,STAR B8I
HR 5700,15 23 10.39,-60 39 24.8,STAR F7V
HR 3571,08 55 02.81,-60 38 40.9,STAR B8II
HR 4217,10 46 16.80,-60 36 11.9,STAR A0IV
HR 3153,07 59 37.61,-60 35 12.8,STAR M1II
HR 7848,20 35 34.80,-60 34 54.1,STAR F1III
HR 4200,10 43 32.09,-60 34 00.1,STAR K4III
HR 7875,20 40 02.59,-60 32 56.0,STAR F8V
HR 3120,07 56 18.60,-60 31 35.0,STAR K3III
HR 4271,10 55 17.21,-60 31 00.8,STAR K0III
HR 8646,22 44 16.51,-60 29 57.8,STAR F3V
HR 5680,15 18 48.91,-60 29 47.0,STAR O7III
HR 5905,15 56 06.00,-60 28 58.1,STAR A3V
HR 6177,16 40 50.50,-60 26 46.0,STAR F2III
HR 3960,10 02 00.00,-60 25 14.9,STAR A9IV
HR 4700,12 21 21.60,-60 24 04.0,STAR K3III
HR 4868,12 50 12.00,-60 24 02.9,STAR A3II
HR 4890,12 53 49.10,-60 22 36.8,STAR B5I
HR 5267,14 03 49.39,-60 22 23.2,STAR B1III
HR 3560,08 53 48.70,-60 21 15.1,STAR B5III
HR 4876,12 51 17.81,-60 19 46.9,STAR A2I
HR 4887,12 53 21.79,-60 19 43.0,STAR B9I
HR 4352,11 12 36.00,-60 19 03.0,STAR A6I
HR 3443,08 39 13.20,-60 19 01.9,STAR A0V
HR 714 ,02 24 53.90,-60 18 42.8,STAR F2III
HR 3138,07 57 46.90,-60 18 11.9,STAR G0V
HR 3740,09 23 27.41,-60 18 09.0,STAR K1II
HR 5836,15 43 55.10,-60 17 13.9,STAR G0I
HR 3070,07 49 12.89,-60 17 01.0,STAR F1V
HR 2345,06 24 13.70,-60 16 52.0,STAR A0V
HR 186 ,00 42 41.81,-60 15 45.0,STAR K5III
HR 8502,22 18 30.10,-60 15 34.9,STAR K3III
HR 2562,06 50 01.10,-60 14 57.1,STAR F7III
HR 3152,07 59 40.20,-60 12 27.0,STAR B5III
HR 7127,18 58 36.41,-60 12 02.2,STAR K2III
HR 3966,10 02 59.90,-60 10 43.0,STAR A6II
HR 5900,15 55 32.30,-60 10 40.1,STAR G5II
HR 6624,17 51 35.50,-60 09 51.8,STAR K0III
HR 5546,14 55 34.61,-60 06 51.1,STAR K2III
HR 2151,06 02 09.19,-60 05 48.8,STAR M4III
HR 8889,23 22 56.90,-60 03 20.9,STAR M3III
HR 3076,07 49 54.79,-60 03 04.0,STAR K0II
HR 5432,14 35 17.21,-60 00 56.9,STAR K2III
HR 4975,13 12 17.40,-59 55 14.9,STAR B8V
HR 4228,10 48 05.40,-59 55 09.1,STAR A0I
HR 4018,10 13 01.30,-59 55 05.2,STAR B4V
HR 5326,14 16 34.20,-59 54 50.0,STAR M5II
HR 5803,15 39 56.50,-59 54 29.9,STAR F6V
HR 4043,10 16 03.10,-59 54 11.9,STAR A5V
HR 8686,22 51 44.90,-59 52 53.0,STAR K1III
HR 4944,13 07 24.19,-59 51 38.2,STAR F8IV
HR 6525,17 35 34.90,-59 50 46.0,STAR B5II
HR 4980,13 12 55.99,-59 49 00.1,STAR G0V
HR 5024,13 20 34.90,-59 46 23.9,STAR F3II
HR 3457,08 40 37.01,-59 45 40.0,STAR B1III
HR 934 ,03 03 36.79,-59 44 16.1,STAR F0IV
HR 1530,04 44 21.10,-59 43 58.1,STAR A8III
HR 4276,10 57 48.41,-59 43 54.8,STAR G3I
HR 5281,14 06 25.10,-59 42 56.2,STAR B0I
HR 6408,17 19 12.41,-59 41 39.8,STAR K2III
HR 4853,12 47 43.20,-59 41 19.0,STAR B0III
HR 4823,12 41 56.59,-59 41 08.9,STAR B6IV
HR 4210,10 45 03.60,-59 41 03.1,STAR
HR 4188,10 41 17.59,-59 40 36.8,WOLF RAYET STAR WN
HR 8409,22 05 50.90,-59 38 10.0,STAR K4III
HR 4361,11 13 30.79,-59 37 09.8,STAR B1V
HR 4164,10 36 20.30,-59 33 52.9,STAR K1III
HR 4442,11 31 48.79,-59 30 56.9,STAR A2I
HR 3307,08 22 30.79,-59 30 34.9,STAR K3III
HR 176 ,00 40 26.40,-59 27 15.8,STAR G1V
HR 4441,11 31 46.10,-59 26 31.9,STAR G3I
HR 3913,09 51 12.10,-59 25 32.9,STAR K2IV
HR 4768,12 31 40.30,-59 25 26.0,STAR F7I
HR 3673,09 12 55.61,-59 24 51.8,STAR G6II
HR 7625,20 01 44.69,-59 22 34.0,STAR M6III
HR 2592,06 52 45.41,-59 20 28.0,STAR A3
HR 4239,10 49 24.10,-59 19 25.0,STAR B9IV
HR 5704,15 23 22.70,-59 19 14.9,STAR B5IV
HR 1355,04 16 28.90,-59 18 06.8,STAR K2IV
HR 5292,14 08 56.30,-59 16 36.1,STAR B5IV
HR 3699,09 17 05.40,-59 16 31.1,STAR A8I
HR 3582,08 56 58.39,-59 13 45.8,STAR B2IV
HR 3825,09 34 26.71,-59 13 45.8,STAR B5II
HR 4198,10 42 40.61,-59 12 56.9,STAR B2I
HR 2274,06 16 18.50,-59 12 49.0,STAR G0V
HR 5403,14 28 43.49,-59 11 52.1,STAR A0II
HR 7531,19 50 44.81,-59 11 35.2,STAR A0IV
HR 4177,10 38 45.10,-59 10 59.2,STAR K4III
HR 2674,07 03 15.60,-59 10 41.2,STAR B9IV
HR 3274,08 17 55.80,-59 10 00.8,STAR F5V
HR 4897,12 54 39.19,-59 08 48.1,STAR B4V
HR 3126,07 56 50.71,-59 07 35.0,STAR M0III
HR 4989,13 14 14.81,-59 06 11.9,STAR F7IV
HR 3598,08 59 24.10,-59 05 01.0,STAR F3V
HR 6229,16 49 47.09,-59 02 29.0,STAR K5III
HR 6760,18 09 57.60,-59 02 24.0,STAR K4III
HR 8369,21 58 30.10,-59 00 43.9,STAR F3V
HR 4739,12 27 28.70,-58 59 30.8,STAR M4III
HR 4337,11 08 35.40,-58 58 30.0,STAR G4I
HR 3659,09 10 58.01,-58 58 00.8,STAR B2IV
HR 6304,17 01 47.40,-58 57 29.9,STAR B2IV
HR 1504,04 40 18.29,-58 56 37.0,STAR G5V
HR 2661,07 01 05.09,-58 56 24.0,STAR A8III
HR 1836,05 26 19.30,-58 54 45.0,STAR G6III
HR 4835,12 43 28.20,-58 54 11.2,STAR K0III
HR 7587,19 57 06.19,-58 54 05.0,STAR B9IV
HR 1930,05 35 02.40,-58 52 16.0,STAR K4III
HR 4257,10 53 29.59,-58 51 11.9,STAR K1III
HR 4007,10 11 35.21,-58 49 41.2,STAR M3III
HR 4179,10 38 59.40,-58 49 00.8,STAR M1III
HR 5670,15 17 30.79,-58 48 04.0,STAR A3V
HR 3887,09 45 55.39,-58 47 39.1,STAR F5IV
HR 5140,13 42 01.10,-58 47 13.9,STAR B9III
HR 2412,06 31 58.39,-58 45 15.1,STAR B9V
HR 4656,12 15 08.71,-58 44 56.0,STAR B2IV
HR 4114,10 27 52.70,-58 44 21.8,STAR F2II
HR 4169,10 37 26.81,-58 43 59.9,STAR A0I
HR 3489,08 45 05.30,-58 43 30.0,STAR B7III
HR 6939,18 33 29.50,-58 42 33.1,STAR G5IV
HR 4988,13 14 12.10,-58 41 02.0,STAR K0III
HR 4323,11 06 29.30,-58 40 31.1,STAR K2II
HR 4144,10 32 47.59,-58 40 00.8,STAR A2I
HR 3006,07 42 10.20,-58 37 50.9,STAR B2V
HR 5465,14 41 55.70,-58 36 58.0,STAR F4V
HR 6114,16 28 15.19,-58 35 58.9,STAR B9II
HR 4095,10 24 59.40,-58 34 35.0,STAR F2III
HR 1597,04 54 52.99,-58 32 49.9,STAR F3V
HR 2336,06 23 46.90,-58 32 38.0,STAR A3V
HR 6215,16 46 21.19,-58 30 13.0,STAR B2IV
HR 5486,14 44 55.49,-58 28 40.1,STAR K0III
HR 8909,23 27 15.00,-58 28 34.0,STAR G8III
HR 5371,14 22 37.01,-58 27 33.8,STAR G8III
HR 4342,11 10 54.70,-58 27 19.1,STAR B7III
HR 7986,20 54 48.60,-58 27 15.1,STAR K1II
HR 4895,12 54 22.01,-58 25 50.2,STAR F7I
HR 5122,13 38 07.61,-58 24 54.0,STAR K1III
HR 3691,09 15 17.50,-58 23 19.0,STAR B7IV
HR 3793,09 30 23.40,-58 21 42.1,STAR M2III
HR 6219,16 47 19.51,-58 20 29.0,STAR B0I
HR 468 ,01 36 44.81,-58 16 14.9,STAR M3III
HR 3568,08 54 54.00,-58 14 24.0,STAR B5V
HR 8848,23 17 25.80,-58 14 08.9,STAR F1III
HR 3012,07 42 53.30,-58 13 48.0,STAR K0III
HR 3415,08 35 15.41,-58 13 30.0,STAR B3V
HR 4147,10 33 25.30,-58 11 25.1,STAR B7I
HR 460 ,01 35 15.19,-58 08 21.8,STAR F2V
HR 4009,10 11 46.51,-58 03 38.2,STAR B2IV
HR 6438,17 22 55.01,-58 00 37.1,STAR G8I
HR 3414,08 35 19.61,-58 00 33.1,STAR K0III
HR 2369,06 27 04.01,-58 00 07.9,STAR K3III
HR 3863,09 40 42.50,-57 59 01.0,STAR A3IV
HR 7434,19 38 25.90,-57 58 59.9,STAR K0III
HR 3293,08 21 12.00,-57 58 23.2,STAR B1III
HR 4091,10 23 50.90,-57 57 14.0,STAR K4III
HR 5994,16 09 18.60,-57 56 03.8,STAR B9V
HR 7586,19 56 57.70,-57 55 32.2,STAR K4II
HR 6040,16 15 49.70,-57 54 43.9,STAR A3III
HR 6251,16 54 00.50,-57 54 33.8,STAR M1III
HR 6062,16 18 51.89,-57 53 58.9,STAR F8I
HR 8362,21 56 13.99,-57 53 57.8,STAR A0
HR 8593,22 35 52.90,-57 53 01.0,STAR A5V
HR 3622,09 04 48.00,-57 51 09.0,STAR A8III
HR 8531,22 24 56.40,-57 47 49.9,STAR G3IV
HR 5961,16 03 31.90,-57 46 31.1,STAR A7IV
HR 6120,16 29 45.00,-57 45 20.9,STAR G8I
HR 6320,17 04 24.70,-57 42 43.9,STAR B5IV
HR 4526,11 47 19.10,-57 41 47.0,STAR K5III
HR 350 ,01 10 07.39,-57 41 39.8,STAR G6II
HR 4706,12 22 49.30,-57 40 34.0,STAR B9V
HR 4110,10 27 24.41,-57 38 20.0,STAR A9I
HR 3536,08 51 36.60,-57 38 01.0,STAR B8III
HR 5124,13 38 49.10,-57 37 23.2,STAR G5I
HR 3693,09 15 34.99,-57 34 41.2,STAR G8II
HR 4159,10 35 35.30,-57 33 28.1,STAR K3II
HR 3455,08 40 43.61,-57 32 43.1,STAR A3V
HR 6586,17 44 55.80,-57 32 43.1,STAR G8III
HR 3696,09 16 12.19,-57 32 29.0,STAR M1III
HR 7691,20 11 07.20,-57 31 26.0,STAR B7V
HR 6908,18 29 56.69,-57 31 23.2,STAR K0III
HR 8509,22 20 36.19,-57 30 36.0,STAR K3III
HR 4592,12 01 28.99,-57 30 13.0,STAR A0V
HR 1674,05 05 30.60,-57 28 22.1,STAR F7V
HR 4226,10 47 38.71,-57 28 04.1,STAR M1II
HR 191 ,00 43 21.19,-57 27 47.2,STAR A0IV
HR 8620,22 40 48.89,-57 25 19.9,STAR K4III
HR 4556,11 54 11.50,-57 24 36.0,STAR A0III
HR 3957,10 01 58.01,-57 20 58.9,STAR K1II
HR 977 ,03 12 33.19,-57 19 18.1,STAR
HR 3105,07 54 53.21,-57 18 11.2,STAR K3III
HR 3864,09 41 02.21,-57 15 34.9,STAR K0III
HR 4173,10 38 02.50,-57 15 23.0,STAR B3IV
HR 4250,10 52 30.91,-57 14 26.2,STAR B9I
HR 472 ,01 37 42.89,-57 14 12.1,STAR B3V
HR 3883,09 45 40.49,-57 11 08.2,STAR B8III
HR 4898,12 54 35.59,-57 10 40.1,STAR B2IV
HR 4899,12 54 36.79,-57 10 05.9,STAR B5V
HR 2072,05 52 20.30,-57 09 22.0,STAR F7IV
HR 4763,12 31 09.89,-57 06 47.9,STAR M3III
HR 1245,03 58 42.89,-57 06 09.0,STAR F2IV
HR 5316,14 14 57.00,-57 05 08.9,STAR B4V
HR 4764,12 31 16.70,-57 04 52.0,STAR A3V
HR 1405,04 24 12.19,-57 04 17.0,STAR G4V
HR 3803,09 31 13.30,-57 02 03.8,STAR K5III
HR 295 ,01 02 01.80,-57 00 09.0,STAR G8III
HR 4551,11 52 10.10,-56 59 16.1,STAR A2V
HR 3953,10 00 34.39,-56 56 48.1,STAR K0III
HR 6505,17 31 22.99,-56 55 14.2,STAR B7II
HR 6384,17 14 13.20,-56 53 17.9,STAR M1II
HR 5421,14 32 32.90,-56 53 16.1,STAR F5I
HR 7022,18 45 23.71,-56 52 54.1,STAR K3III
HR 2389,06 29 28.51,-56 51 10.1,STAR K0III
HR 8901,23 25 19.39,-56 50 57.1,STAR K0III
HR 4908,12 55 57.00,-56 50 10.0,STAR O9I
HR 8387,22 03 21.60,-56 47 10.0,STAR K4V
HR 4398,11 23 08.11,-56 46 45.8,STAR A4
HR 3498,08 46 42.50,-56 46 10.9,STAR B3V
HR 5151,13 42 56.09,-56 46 05.2,STAR B0III
HR 4221,10 46 57.50,-56 45 25.9,STAR B8III
HR 2683,07 04 18.29,-56 44 58.9,STAR A0
HR 7790,20 25 38.90,-56 44 06.0,STAR B2IV
HR 3031,07 45 35.59,-56 43 21.0,STAR F0II
HR 5515,14 49 06.89,-56 40 04.1,STAR K1III
HR 3549,08 53 03.79,-56 38 57.8,STAR A0V
HR 6442,17 23 06.89,-56 31 31.1,STAR G8III
HR 4754,12 29 53.90,-56 31 28.9,STAR M1III
HR 183 ,00 41 46.39,-56 30 06.1,STAR A0
HR 4848,12 46 22.70,-56 29 20.0,STAR B3V
HR 3056,07 48 19.20,-56 28 16.0,STAR K0III
HR 5461,14 40 32.81,-56 26 26.9,STAR K0II
HR 3895,09 48 40.01,-56 24 42.8,STAR K0III
HR 3062,07 49 06.70,-56 24 38.2,STAR G5II
HR 4749,12 28 33.41,-56 24 28.1,STAR K0III
HR 2638,06 58 36.19,-56 23 40.9,STAR F2II
HR 5358,14 20 19.51,-56 23 12.1,STAR B6I
HR 6462,17 25 23.59,-56 22 39.0,STAR B1I
HR 4702,12 21 57.50,-56 22 28.9,STAR K4III
HR 2320,06 22 55.80,-56 22 12.0,STAR A0
HR 7510,19 48 01.20,-56 21 45.0,STAR A7III
HR 4576,11 58 15.19,-56 19 01.9,STAR B8III
HR 5266,14 03 26.21,-56 12 49.0,STAR K2III
HR 486 ,01 39 47.40,-56 11 53.2,STAR K0V
HR 487 ,01 39 47.81,-56 11 40.9,STAR K5V
HR 5979,16 07 24.00,-56 11 29.0,STAR F2II
HR 4834,12 43 09.10,-56 10 34.0,STAR B7V
HR 2042,05 49 49.70,-56 10 00.1,STAR K1III
HR 1801,05 22 22.10,-56 08 03.8,STAR B8V
HR 4061,10 18 37.61,-56 06 36.0,STAR F6V
HR 3218,08 09 33.60,-56 05 08.2,STAR A3
HR 4074,10 20 54.79,-56 02 35.2,STAR B3III
HR 6819,18 17 07.49,-56 01 23.9,STAR B3III
HR 6285,16 58 37.20,-55 59 25.1,STAR K3III
HR 4832,12 42 49.61,-55 56 49.9,STAR B9V
HR 688 ,02 19 54.29,-55 56 40.9,STAR K5III
HR 2941,07 36 01.70,-55 53 15.0,STAR K1III
HR 8381,22 00 24.10,-55 52 58.1,STAR B9IV
HR 3629,09 06 34.01,-55 48 11.9,STAR B2IV
HR 5027,13 20 48.29,-55 48 02.2,STAR B0I
