,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 5289,         ,14 08 14.30,-63 12 29.2, 6.40,        ,                                         STAR G8III,
,HR 2754,         ,07 12 01.99,-63 11 24.0, 6.02,W       ,                                          STAR A0IV,
,HR 8689,         ,22 52 09.91,-63 11 19.0, 6.12,W       ,                                         STAR K0III,
,HR 4603,The2Cru  ,12 04 19.20,-63 09 56.2, 4.72,        ,                                          STAR B2IV,
,HR 6089,         ,16 25 22.01,-63 07 28.9, 6.15,        ,                                           STAR A1V,
,HR 4729,         ,12 26 30.91,-63 07 21.0, 4.86,W       ,                                          STAR B4IV,
,HR 8919,         ,23 29 01.01,-63 06 38.9, 5.68,        ,                                            STAR A0,
,HR 4731,Alp2Cru  ,12 26 36.50,-63 05 57.8, 1.73,W       ,                                           STAR B1V,
,HR 4730,Alp1Cru  ,12 26 35.90,-63 05 57.1, 1.33,W       ,                                          STAR B0IV,
,HR 2102,         ,05 54 06.10,-63 05 24.0, 4.65,        ,                                         STAR K1III,
,HR 4830,         ,12 42 50.30,-63 03 31.0, 5.31,        ,                                         STAR B1III,
,HR 6805,         ,18 15 40.90,-63 03 20.2, 5.60,W       ,                                         STAR K0III,
,HR 6471,         ,17 28 07.70,-63 02 11.0, 6.24,        ,                                           STAR B7V,
,HR 136 ,Bet3Tuc  ,00 32 43.80,-63 01 52.0, 5.09,W       ,                                           STAR A0V,
,HR 6871,         ,18 25 31.51,-63 01 17.0, 6.14,        ,                                           STAR A3V,
,HR 4467,Lam Cen  ,11 35 46.80,-63 01 10.9, 3.13,W       ,                                         STAR B9III,
,HR 127 ,Bet2Tuc  ,00 31 33.60,-62 57 56.9, 4.54,W       ,                                           STAR A2V,
,HR 126 ,Bet1Tuc  ,00 31 32.71,-62 57 29.2, 4.37,W       ,                                           STAR B9V,
,HR 9060,         ,23 57 19.90,-62 57 23.0, 5.97,        ,                                          STAR A1IV,
,HR 4644,         ,12 12 22.01,-62 57 02.9, 5.92,        ,                                           STAR B8I,
,HR 1083,Kap Ret  ,03 29 22.70,-62 56 15.0, 4.72,W       ,                                          STAR F5IV,
,HR 3260,         ,08 15 15.91,-62 54 56.9, 5.16,W       ,                                           STAR A2V,
,HR 866 ,         ,02 52 19.20,-62 54 34.9, 6.03,        ,                                         STAR K1III,
,HR 7872,         ,20 39 51.41,-62 54 28.1, 6.22,        ,                                         STAR K1III,
,HR 4513,         ,11 43 52.90,-62 52 41.9, 6.10,        ,                                         STAR A2III,
,HR 5482,         ,14 45 17.30,-62 52 32.9, 5.36,W       ,                                           STAR A9V,
,HR 257 ,         ,00 53 37.90,-62 52 17.0, 5.70,        ,                                         STAR M4III,
,HR 6440,         ,17 24 01.10,-62 51 51.1, 5.70,        ,                                          STAR B2IV,
,HR 3432,         ,08 37 18.79,-62 51 13.0, 5.47,W       ,                                         STAR K0III,
,HR 9023,         ,23 49 44.69,-62 50 21.8, 6.59,        ,                                         STAR K5III,
,HR 3186,         ,08 04 42.89,-62 50 10.0, 6.30,W       ,                                           STAR B2V,
,HR 1475,         ,04 33 34.01,-62 49 25.0, 5.79,W       ,                                         STAR K1III,
,HR 852 ,Nu  Hor  ,02 49 01.49,-62 48 24.1, 5.26,        ,                                           STAR A2V,
,HR 7111,         ,18 56 54.70,-62 48 04.0, 6.48,        ,                                         STAR K3III,
,HR 3816,         ,09 32 14.59,-62 47 20.0, 6.10,W       ,                                         STAR M6III,
,HR 5551,The Cir  ,14 56 43.99,-62 46 50.9, 5.11,W       ,                                           STAR B4V,
,HR 3914,         ,09 50 55.70,-62 44 43.1, 5.57,        ,                                         STAR K1III,
,HR 8829,         ,23 14 06.60,-62 42 00.0, 6.12,        ,                                           STAR G8V,
,HR 4541,         ,11 50 27.19,-62 38 57.8, 5.70,        ,                                           STAR A2I,
,HR 5884,         ,15 53 22.80,-62 36 24.8, 6.19,        ,                                         STAR K3III,
,HR 5171,         ,13 47 10.70,-62 35 24.0, 6.51,W       ,                                           STAR K0I,
,HR 762 ,         ,02 33 33.60,-62 35 12.8, 6.77,        ,                                           STAR B9V,
,HR 1006,Zet1Ret  ,03 17 46.20,-62 34 31.1, 5.54,W       ,                                           STAR G2V,
,HR 5951,         ,16 02 52.39,-62 32 30.1, 6.25,        ,                                           STAR B9V,
,HR 1435,         ,04 27 45.91,-62 31 14.9, 5.75,W       ,                                         STAR K0III,
,HR 3884,         ,09 45 14.81,-62 30 28.1, 3.69,        ,                                           STAR G5I,
,HR 1010,Zet2Ret  ,03 18 12.89,-62 30 23.0, 5.24,W       ,                                           STAR G1V,
,HR 199 ,         ,00 44 32.30,-62 29 52.1, 6.07,W       ,                                         STAR F5III,
,HR 1922,Bet Dor  ,05 33 37.49,-62 29 22.9, 3.76,        ,                                           STAR F6I,
,HR 4511,         ,11 43 31.20,-62 29 21.8, 5.03,        ,                                           STAR G0I,
,HR 1336,Alp Ret  ,04 14 25.51,-62 28 26.0, 3.35,W       ,                                          STAR G8II,
,HR 4573,         ,11 57 40.10,-62 26 56.0, 5.57,        ,                                           STAR B3V,
,HR 7959,         ,20 51 38.30,-62 25 45.1, 6.28,W       ,                                          STAR A2IV,
,HR 7960,         ,20 51 38.81,-62 25 45.1, 6.59,W       ,                                          STAR A2IV,
,HR 4325,         ,11 06 32.40,-62 25 27.1, 4.61,        ,                                         STAR G8III,
,HR 3728,         ,09 20 56.81,-62 24 16.9, 4.81,        ,                                         STAR G6III,
,HR 3663,         ,09 11 16.61,-62 19 01.9, 3.97,        ,                                         STAR B3III,
,HR 1867,         ,05 29 17.40,-62 18 51.8, 6.59,        ,                                         STAR K4III,
,HR 6916,Nu  Pav  ,18 31 22.39,-62 16 41.9, 4.64,        ,                                         STAR B7III,
,HR 3776,         ,09 28 46.99,-62 16 23.2, 5.92,        ,                                         STAR K1III,
,HR 1340,         ,04 14 48.70,-62 11 30.8, 5.45,W       ,                                         STAR K0III,
,HR 7074,Lam Pav  ,18 52 13.01,-62 11 15.0, 4.22,W       ,                                          STAR B2II,
,HR 1264,Gam Ret  ,04 00 53.81,-62 09 33.8, 4.51,        ,                                         STAR M4III,
,HR 3967,         ,10 02 49.39,-62 09 23.0, 6.42,        ,                                           STAR K3I,
,HR 2196,         ,06 07 03.41,-62 09 16.9, 5.05,        ,                                         STAR K2III,
,HR 4499,         ,11 40 53.59,-62 05 24.0, 4.94,        ,                                           STAR G3I,
,HR 1492,         ,04 36 45.60,-62 04 39.0, 5.40,W       ,                                         STAR M8III,
,HR 6761,Iot Pav  ,18 10 26.11,-62 00 07.9, 5.49,        ,                                           STAR G0V,
,HR 8843,         ,23 16 57.70,-62 00 04.0, 5.66,        ,                                           STAR F7V,
,HR 8582,Nu  Tuc  ,22 33 00.10,-61 58 55.9, 4.81,        ,                                         STAR M4III,
,HR 3752,         ,09 25 27.10,-61 57 01.1, 5.77,W       ,                                           STAR A4V,
,HR 4338,         ,11 08 34.01,-61 56 49.9, 5.13,        ,                                           STAR B9I,
,HR 2550,Alp Pic  ,06 48 11.40,-61 56 29.0, 3.27,        ,                                          STAR A7IV,
,HR 8352,         ,21 55 11.50,-61 53 11.0, 5.90,W       ,                                         STAR F1III,
,HR 3971,         ,10 03 34.30,-61 53 02.0, 6.14,W       ,                                          STAR B7IV,
,HR 2410,         ,06 31 10.61,-61 52 46.9, 6.15,        ,                                           STAR B3V,
,HR 4790,         ,12 35 28.99,-61 50 30.8, 6.22,        ,                                         STAR G3III,
,HR 4266,         ,10 54 29.59,-61 49 36.1, 5.93,W       ,                                         STAR K4III,
,HR 4487,         ,11 38 07.30,-61 49 35.0, 5.15,        ,                                            STAR A0,
,HR 4747,         ,12 28 25.49,-61 47 43.1, 6.22,        ,                                         STAR K2III,
,HR 332 ,Iot Tuc  ,01 07 18.70,-61 46 31.1, 5.37,        ,                                         STAR G5III,
,HR 5645,         ,15 13 01.01,-61 44 38.0, 6.32,        ,                                           STAR K4I,
,HR 5113,         ,13 37 12.19,-61 41 30.8, 5.63,W       ,                                           STAR F6V,
,HR 4140,         ,10 32 01.39,-61 41 07.1, 3.32,        ,                                           STAR B4V,
,HR 8669,         ,22 48 21.41,-61 41 03.1, 6.37,        ,                                         STAR K0III,
,HR 6356,         ,17 10 06.29,-61 40 32.2, 6.39,        ,                                          STAR B8II,
,HR 4022,         ,10 13 21.19,-61 39 32.0, 6.41,        ,                                           STAR B2V,
,HR 3742,         ,09 24 05.69,-61 38 56.0, 5.99,        ,                                         STAR K0III,
,HR 6125,         ,16 30 49.39,-61 38 01.0, 5.20,        ,                                          STAR K0II,
,HR 591 ,Alp Hyi  ,01 58 46.20,-61 34 10.9, 2.86,        ,                                           STAR F0V,
,HR 3999,         ,10 09 21.89,-61 32 57.1, 5.60,        ,                                         STAR M2III,
,HR 2468,         ,06 38 00.60,-61 31 59.2, 6.18,W       ,                                           STAR G1V,
,HR 7859,Rho Pav  ,20 37 35.30,-61 31 48.0, 4.88,        ,                                            STAR F5,
,HR 6855,Xi  Pav  ,18 23 13.61,-61 29 38.0, 4.36,W       ,                                         STAR K4III,
,HR 5252,         ,14 00 17.30,-61 28 53.0, 6.49,        ,                                         STAR F1III,
,HR 5632,         ,15 10 44.59,-61 25 21.0, 6.30,        ,                                           STAR G2V,
,HR 1247,Del Ret  ,03 58 44.69,-61 24 01.1, 4.56,        ,                                         STAR M2III,
,HR 4128,         ,10 30 39.19,-61 21 22.0, 6.43,W       ,                                         STAR M2III,
,HR 4050,         ,10 17 04.99,-61 19 55.9, 3.40,W       ,                                          STAR K3II,
,HR 3856,         ,09 39 21.00,-61 19 41.2, 4.52,        ,                                          STAR B9IV,
,HR 4290,         ,10 59 13.99,-61 19 13.1, 6.16,W       ,                                          STAR B8IV,
,HR 3220,         ,08 09 00.70,-61 18 09.0, 4.76,        ,                                           STAR F5V,
,HR 4475,         ,11 37 00.60,-61 16 59.9, 5.15,        ,                                         STAR K0III,
,HR 4438,         ,11 31 15.00,-61 16 41.9, 6.38,        ,                                           STAR A3I,
,HR 4634,         ,12 11 04.90,-61 16 39.0, 6.08,        ,                                          STAR F2IV,
,HR 5349,         ,14 19 51.50,-61 16 23.2, 5.23,        ,                                            STAR A0,
,HR 1416,         ,04 25 05.30,-61 14 17.9, 5.94,        ,                                         STAR K4III,
,HR 4522,         ,11 46 30.79,-61 10 41.9, 4.11,W       ,                                           STAR G5I,
,HR 1936,         ,05 34 57.60,-61 10 32.9, 6.32,        ,                                          STAR G5IV,
,HR 7558,         ,19 54 40.39,-61 10 14.9, 6.24,        ,                                           STAR A4V,
,HR 4415,         ,11 26 35.30,-61 06 55.1, 5.30,W       ,                                          STAR B3IV,
,HR 7015,         ,18 45 11.50,-61 05 42.0, 6.04,        ,                                         STAR K3III,
,HR 1266,Iot Ret  ,04 01 18.19,-61 04 44.0, 4.97,        ,                                         STAR K4III,
,HR 7527,         ,19 50 21.70,-61 03 41.0, 6.21,        ,                                           STAR B5V,
,HR 4472,         ,11 36 22.30,-61 03 07.9, 5.83,        ,                                          STAR B2IV,
,HR 1096,         ,03 32 51.60,-61 01 00.8, 6.41,        ,                                         STAR K0III,
,HR 6167,         ,16 38 52.70,-60 59 25.1, 6.18,        ,                                           STAR B7V,
,HR 5035,         ,13 22 37.90,-60 59 17.9, 4.53,W       ,                                           STAR B3V,
,HR 4151,         ,10 34 12.91,-60 59 16.1, 6.23,        ,                                         STAR K2III,
,HR 4842,Iot Cru  ,12 45 37.90,-60 58 52.0, 4.69,W       ,                                         STAR K0III,
,HR 5034,         ,13 22 35.69,-60 58 19.9, 6.18,W       ,                                           STAR B2V,
,HR 4607,         ,12 04 57.10,-60 58 09.1, 5.96,        ,                                         STAR M2III,
,HR 3604,         ,09 00 45.70,-60 57 50.0, 5.79,        ,                                          STAR G8II,
,HR 5664,Del Cir  ,15 16 56.71,-60 57 27.0, 5.09,W       ,                                           STAR O8V,
,HR 1357,         ,04 16 21.10,-60 56 55.0, 6.37,W       ,                                            STAR A0,
,HR 5661,         ,15 16 36.41,-60 54 14.0, 5.73,W       ,                                           STAR B0V,
,HR 571 ,         ,01 55 46.39,-60 51 41.0, 6.06,        ,                                          STAR F0IV,
,HR 4622,         ,12 08 24.60,-60 50 49.9, 6.22,        ,                                          STAR K3II,
,HR 5460,Alp2Cen  ,14 39 36.10,-60 50 08.2, 1.33,W       ,                                           STAR K1V,
,HR 5459,Alp1Cen  ,14 39 35.90,-60 50 07.1,-0.01,W       ,                                           STAR G2V,
,HR 3147,         ,07 58 50.50,-60 49 27.8, 5.81,        ,                                          STAR B2IV,
,HR 505 ,         ,01 41 48.00,-60 47 21.8, 5.71,        ,                                         STAR K2III,
,HR 5898,         ,15 54 52.61,-60 44 35.9, 6.15,W       ,                                          STAR B9II,
,HR 281 ,         ,00 58 22.39,-60 41 47.0, 6.23,        ,                                            STAR A0,
,HR 6500,Del Ara  ,17 31 05.90,-60 41 02.0, 3.62,W       ,                                           STAR B8V,
,HR 6447,         ,17 24 18.70,-60 40 25.0, 5.77,        ,                                           STAR B8I,
,HR 5700,         ,15 23 10.39,-60 39 24.8, 5.67,        ,                                           STAR F7V,
,HR 3571,         ,08 55 02.81,-60 38 40.9, 3.84,W       ,                                          STAR B8II,
,HR 4217,         ,10 46 16.80,-60 36 11.9, 6.25,W       ,                                          STAR A0IV,
,HR 3153,         ,07 59 37.61,-60 35 12.8, 5.17,        ,                                          STAR M1II,
,HR 7848,Phi1Pav  ,20 35 34.80,-60 34 54.1, 4.76,        ,                                         STAR F1III,
,HR 4200,         ,10 43 32.09,-60 34 00.1, 4.57,        ,                                         STAR K4III,
,HR 7875,Phi2Pav  ,20 40 02.59,-60 32 56.0, 5.12,        ,                                           STAR F8V,
,HR 3120,         ,07 56 18.60,-60 31 35.0, 5.74,        ,                                         STAR K3III,
,HR 4271,         ,10 55 17.21,-60 31 00.8, 5.92,        ,                                         STAR K0III,
,HR 8646,         ,22 44 16.51,-60 29 57.8, 6.30,        ,                                           STAR F3V,
,HR 5680,         ,15 18 48.91,-60 29 47.0, 5.46,W       ,                                         STAR O7III,
,HR 5905,         ,15 56 06.00,-60 28 58.1, 5.76,        ,                                           STAR A3V,
,HR 6177,         ,16 40 50.50,-60 26 46.0, 6.18,W       ,                                         STAR F2III,
,HR 3960,         ,10 02 00.00,-60 25 14.9, 5.94,        ,                                          STAR A9IV,
,HR 4700,Eps Cru  ,12 21 21.60,-60 24 04.0, 3.59,        ,                                         STAR K3III,
,HR 4868,         ,12 50 12.00,-60 24 02.9, 6.75,        ,                                          STAR A3II,
,HR 4890,Kap Cru  ,12 53 49.10,-60 22 36.8, 5.90,        ,                                           STAR B5I,
,HR 5267,Bet Cen  ,14 03 49.39,-60 22 23.2, 0.61,W       ,                                         STAR B1III,
,HR 3560,         ,08 53 48.70,-60 21 15.1, 5.78,        ,                                         STAR B5III,
,HR 4876,         ,12 51 17.81,-60 19 46.9, 5.72,        ,                                           STAR A2I,
,HR 4887,         ,12 53 21.79,-60 19 43.0, 5.76,        ,                                           STAR B9I,
,HR 4352,         ,11 12 36.00,-60 19 03.0, 4.60,W       ,                                           STAR A6I,
,HR 3443,         ,08 39 13.20,-60 19 01.9, 6.36,W       ,                                           STAR A0V,
,HR 714 ,Lam Hor  ,02 24 53.90,-60 18 42.8, 5.35,        ,                                         STAR F2III,
,HR 3138,         ,07 57 46.90,-60 18 11.9, 5.60,W       ,                                           STAR G0V,
,HR 3740,         ,09 23 27.41,-60 18 09.0, 6.30,        ,                                          STAR K1II,
,HR 5836,         ,15 43 55.10,-60 17 13.9, 6.48,        ,                                           STAR G0I,
,HR 3070,         ,07 49 12.89,-60 17 01.0, 5.78,W       ,                                           STAR F1V,
,HR 2345,         ,06 24 13.70,-60 16 52.0, 5.80,        ,                                           STAR A0V,
,HR 186 ,         ,00 42 41.81,-60 15 45.0, 5.98,        ,                                         STAR K5III,
,HR 8502,Alp Tuc  ,22 18 30.10,-60 15 34.9, 2.86,A       ,                                         STAR K3III,
,HR 2562,         ,06 50 01.10,-60 14 57.1, 6.11,        ,                                         STAR F7III,
,HR 3152,         ,07 59 40.20,-60 12 27.0, 6.33,        ,                                         STAR B5III,
,HR 7127,Ome Pav  ,18 58 36.41,-60 12 02.2, 5.14,        ,                                         STAR K2III,
,HR 3966,         ,10 02 59.90,-60 10 43.0, 6.19,        ,                                          STAR A6II,
,HR 5900,         ,15 55 32.30,-60 10 40.1, 5.77,W       ,                                          STAR G5II,
,HR 6624,         ,17 51 35.50,-60 09 51.8, 5.78,W       ,                                         STAR K0III,
,HR 5546,         ,14 55 34.61,-60 06 51.1, 5.20,        ,                                         STAR K2III,
,HR 2151,         ,06 02 09.19,-60 05 48.8, 6.45,        ,                                         STAR M4III,
,HR 8889,         ,23 22 56.90,-60 03 20.9, 6.09,        ,                                         STAR M3III,
,HR 3076,         ,07 49 54.79,-60 03 04.0, 6.72,        ,                                          STAR K0II,
,HR 5432,         ,14 35 17.21,-60 00 56.9, 6.40,        ,                                         STAR K2III,
,HR 4975,         ,13 12 17.40,-59 55 14.9, 4.60,W       ,                                           STAR B8V,
,HR 4228,         ,10 48 05.40,-59 55 09.1, 6.00,        ,                                           STAR A0I,
,HR 4018,         ,10 13 01.30,-59 55 05.2, 6.10,        ,                                           STAR B4V,
,HR 5326,         ,14 16 34.20,-59 54 50.0, 6.39,W       ,                                          STAR M5II,
,HR 5803,         ,15 39 56.50,-59 54 29.9, 5.95,        ,                                           STAR F6V,
,HR 4043,         ,10 16 03.10,-59 54 11.9, 6.22,W       ,                                           STAR A5V,
,HR 8686,         ,22 51 44.90,-59 52 53.0, 6.46,        ,                                         STAR K1III,
,HR 4944,         ,13 07 24.19,-59 51 38.2, 5.99,W       ,                                          STAR F8IV,
,HR 6525,         ,17 35 34.90,-59 50 46.0, 6.28,        ,                                          STAR B5II,
,HR 4980,         ,13 12 55.99,-59 49 00.1, 6.16,W       ,                                           STAR G0V,
,HR 5024,         ,13 20 34.90,-59 46 23.9, 6.18,W       ,                                          STAR F3II,
,HR 3457,         ,08 40 37.01,-59 45 40.0, 4.33,W       ,                                         STAR B1III,
,HR 934 ,Mu  Hor  ,03 03 36.79,-59 44 16.1, 5.11,        ,                                          STAR F0IV,
,HR 1530,Kap Dor  ,04 44 21.10,-59 43 58.1, 5.27,        ,                                         STAR A8III,
,HR 4276,         ,10 57 48.41,-59 43 54.8, 6.11,        ,                                           STAR G3I,
,HR 5281,         ,14 06 25.10,-59 42 56.2, 6.42,        ,                                           STAR B0I,
,HR 6408,         ,17 19 12.41,-59 41 39.8, 5.91,W       ,                                         STAR K2III,
,HR 4853,Bet Cru  ,12 47 43.20,-59 41 19.0, 1.25,W       ,                                         STAR B0III,
,HR 4823,         ,12 41 56.59,-59 41 08.9, 4.93,        ,                                          STAR B6IV,
,HR 4210,Eta Car  ,10 45 03.60,-59 41 03.1, 6.21,W       ,                                               STAR,
,HR 4188,         ,10 41 17.59,-59 40 36.8, 6.42,        ,                                 WOLF RAYET STAR WN,
,HR 8409,Kap2Ind  ,22 05 50.90,-59 38 10.0, 5.62,        ,                                         STAR K4III,
,HR 4361,         ,11 13 30.79,-59 37 09.8, 5.74,        ,                                           STAR B1V,
,HR 4164,         ,10 36 20.30,-59 33 52.9, 5.08,        ,                                         STAR K1III,
,HR 4442,Omi2Cen  ,11 31 48.79,-59 30 56.9, 5.15,        ,                                           STAR A2I,
,HR 3307,Eps Car  ,08 22 30.79,-59 30 34.9, 1.86,        ,                                         STAR K3III,
,HR 176 ,         ,00 40 26.40,-59 27 15.8, 5.89,        ,                                           STAR G1V,
,HR 4441,Omi1Cen  ,11 31 46.10,-59 26 31.9, 5.13,W       ,                                           STAR G3I,
,HR 3913,         ,09 51 12.10,-59 25 32.9, 5.79,        ,                                          STAR K2IV,
,HR 4768,         ,12 31 40.30,-59 25 26.0, 5.48,        ,                                           STAR F7I,
,HR 3673,         ,09 12 55.61,-59 24 51.8, 5.54,        ,                                          STAR G6II,
,HR 7625,         ,20 01 44.69,-59 22 34.0, 5.13,        ,                                         STAR M6III,
,HR 2592,         ,06 52 45.41,-59 20 28.0, 6.41,        ,                                            STAR A3,
,HR 4239,         ,10 49 24.10,-59 19 25.0, 5.91,W       ,                                          STAR B9IV,
,HR 5704,Gam Cir  ,15 23 22.70,-59 19 14.9, 4.51,W       ,                                          STAR B5IV,
,HR 1355,Eps Ret  ,04 16 28.90,-59 18 06.8, 4.44,W       ,                                          STAR K2IV,
,HR 5292,         ,14 08 56.30,-59 16 36.1, 6.34,        ,                                          STAR B5IV,
,HR 3699,Iot Car  ,09 17 05.40,-59 16 31.1, 2.25,        ,                                           STAR A8I,
,HR 3582,         ,08 56 58.39,-59 13 45.8, 4.92,W       ,                                          STAR B2IV,
,HR 3825,         ,09 34 26.71,-59 13 45.8, 4.08,        ,                                          STAR B5II,
,HR 4198,         ,10 42 40.61,-59 12 56.9, 5.38,        ,                                           STAR B2I,
,HR 2274,         ,06 16 18.50,-59 12 49.0, 6.43,W       ,                                           STAR G0V,
,HR 5403,         ,14 28 43.49,-59 11 52.1, 6.45,        ,                                          STAR A0II,
,HR 7531,         ,19 50 44.81,-59 11 35.2, 5.42,W       ,                                          STAR A0IV,
,HR 4177,         ,10 38 45.10,-59 10 59.2, 4.66,W       ,                                         STAR K4III,
,HR 2674,         ,07 03 15.60,-59 10 41.2, 5.50,W       ,                                          STAR B9IV,
,HR 3274,         ,08 17 55.80,-59 10 00.8, 6.42,W       ,                                           STAR F5V,
,HR 4897,Lam Cru  ,12 54 39.19,-59 08 48.1, 4.62,        ,                                           STAR B4V,
,HR 3126,         ,07 56 50.71,-59 07 35.0, 6.25,        ,                                         STAR M0III,
,HR 4989,         ,13 14 14.81,-59 06 11.9, 4.92,W       ,                                          STAR F7IV,
,HR 3598,         ,08 59 24.10,-59 05 01.0, 5.16,W       ,                                           STAR F3V,
,HR 6229,Eta Ara  ,16 49 47.09,-59 02 29.0, 3.76,W       ,                                         STAR K5III,
,HR 6760,         ,18 09 57.60,-59 02 24.0, 6.38,W       ,                                         STAR K4III,
,HR 8369,Kap1Ind  ,21 58 30.10,-59 00 43.9, 6.12,        ,                                           STAR F3V,
,HR 4739,         ,12 27 28.70,-58 59 30.8, 5.50,        ,                                         STAR M4III,
,HR 4337,         ,11 08 35.40,-58 58 30.0, 3.91,        ,                                           STAR G4I,
,HR 3659,         ,09 10 58.01,-58 58 00.8, 3.44,        ,                                          STAR B2IV,
,HR 6304,         ,17 01 47.40,-58 57 29.9, 6.11,        ,                                          STAR B2IV,
,HR 1504,         ,04 40 18.29,-58 56 37.0, 6.53,W       ,                                           STAR G5V,
,HR 2661,         ,07 01 05.09,-58 56 24.0, 6.02,        ,                                         STAR A8III,
,HR 1836,Lam Dor  ,05 26 19.30,-58 54 45.0, 5.14,        ,                                         STAR G6III,
,HR 4835,         ,12 43 28.20,-58 54 11.2, 6.40,W       ,                                         STAR K0III,
,HR 7587,         ,19 57 06.19,-58 54 05.0, 5.26,        ,                                          STAR B9IV,
,HR 1930,         ,05 35 02.40,-58 52 16.0, 6.75,        ,                                         STAR K4III,
,HR 4257,         ,10 53 29.59,-58 51 11.9, 3.78,W       ,                                         STAR K1III,
,HR 4007,         ,10 11 35.21,-58 49 41.2, 6.40,        ,                                         STAR M3III,
,HR 4179,         ,10 38 59.40,-58 49 00.8, 5.92,W       ,                                         STAR M1III,
,HR 5670,Bet Cir  ,15 17 30.79,-58 48 04.0, 4.07,        ,                                           STAR A3V,
,HR 3887,         ,09 45 55.39,-58 47 39.1, 6.22,        ,                                          STAR F5IV,
,HR 5140,         ,13 42 01.10,-58 47 13.9, 5.38,        ,                                         STAR B9III,
,HR 2412,Mu  Pic  ,06 31 58.39,-58 45 15.1, 5.70,W       ,                                           STAR B9V,
,HR 4656,Del Cru  ,12 15 08.71,-58 44 56.0, 2.80,        ,                                          STAR B2IV,
,HR 4114,         ,10 27 52.70,-58 44 21.8, 3.82,        ,                                          STAR F2II,
,HR 4169,         ,10 37 26.81,-58 43 59.9, 5.45,        ,                                           STAR A0I,
,HR 3489,         ,08 45 05.30,-58 43 30.0, 6.21,W       ,                                         STAR B7III,
,HR 6939,         ,18 33 29.50,-58 42 33.1, 6.44,        ,                                          STAR G5IV,
,HR 4988,         ,13 14 12.10,-58 41 02.0, 5.89,        ,                                         STAR K0III,
,HR 4323,         ,11 06 29.30,-58 40 31.1, 6.02,W       ,                                          STAR K2II,
,HR 4144,         ,10 32 47.59,-58 40 00.8, 6.00,        ,                                           STAR A2I,
,HR 3006,         ,07 42 10.20,-58 37 50.9, 6.43,        ,                                           STAR B2V,
,HR 5465,         ,14 41 55.70,-58 36 58.0, 6.22,        ,                                           STAR F4V,
,HR 6114,         ,16 28 15.19,-58 35 58.9, 5.69,        ,                                          STAR B9II,
,HR 4095,         ,10 24 59.40,-58 34 35.0, 5.95,        ,                                         STAR F2III,
,HR 1597,         ,04 54 52.99,-58 32 49.9, 6.12,        ,                                           STAR F3V,
,HR 2336,         ,06 23 46.90,-58 32 38.0, 6.48,        ,                                           STAR A3V,
,HR 6215,         ,16 46 21.19,-58 30 13.0, 5.74,        ,                                          STAR B2IV,
,HR 5486,         ,14 44 55.49,-58 28 40.1, 6.11,        ,                                         STAR K0III,
,HR 8909,         ,23 27 15.00,-58 28 34.0, 5.63,        ,                                         STAR G8III,
,HR 5371,         ,14 22 37.01,-58 27 33.8, 4.92,W       ,                                         STAR G8III,
,HR 4342,         ,11 10 54.70,-58 27 19.1, 6.88,        ,                                         STAR B7III,
,HR 7986,Bet Ind  ,20 54 48.60,-58 27 15.1, 3.65,W       ,                                          STAR K1II,
,HR 4895,         ,12 54 22.01,-58 25 50.2, 6.58,        ,                                           STAR F7I,
,HR 5122,         ,13 38 07.61,-58 24 54.0, 6.42,W       ,                                         STAR K1III,
,HR 3691,         ,09 15 17.50,-58 23 19.0, 6.02,        ,                                          STAR B7IV,
,HR 3793,         ,09 30 23.40,-58 21 42.1, 5.88,W       ,                                         STAR M2III,
,HR 6219,         ,16 47 19.51,-58 20 29.0, 5.58,        ,                                           STAR B0I,
,HR 468 ,         ,01 36 44.81,-58 16 14.9, 6.18,        ,                                         STAR M3III,
,HR 3568,         ,08 54 54.00,-58 14 24.0, 6.38,        ,                                           STAR B5V,
,HR 8848,Gam Tuc  ,23 17 25.80,-58 14 08.9, 3.99,        ,                                         STAR F1III,
,HR 3012,         ,07 42 53.30,-58 13 48.0, 6.21,        ,                                         STAR K0III,
,HR 3415,         ,08 35 15.41,-58 13 30.0, 5.26,        ,                                           STAR B3V,
,HR 4147,         ,10 33 25.30,-58 11 25.1, 6.14,        ,                                           STAR B7I,
,HR 460 ,         ,01 35 15.19,-58 08 21.8, 6.01,        ,                                           STAR F2V,
,HR 4009,         ,10 11 46.51,-58 03 38.2, 5.72,        ,                                          STAR B2IV,
,HR 6438,         ,17 22 55.01,-58 00 37.1, 5.88,W       ,                                           STAR G8I,
,HR 3414,         ,08 35 19.61,-58 00 33.1, 4.86,        ,                                         STAR K0III,
,HR 2369,         ,06 27 04.01,-58 00 07.9, 5.82,        ,                                         STAR K3III,
,HR 3863,         ,09 40 42.50,-57 59 01.0, 5.32,W       ,                                          STAR A3IV,
,HR 7434,         ,19 38 25.90,-57 58 59.9, 6.18,        ,                                         STAR K0III,
,HR 3293,         ,08 21 12.00,-57 58 23.2, 5.97,        ,                                         STAR B1III,
,HR 4091,         ,10 23 50.90,-57 57 14.0, 6.35,        ,                                         STAR K4III,
,HR 5994,Iot2Nor  ,16 09 18.60,-57 56 03.8, 5.57,        ,                                           STAR B9V,
,HR 7586,         ,19 56 57.70,-57 55 32.2, 6.53,        ,                                          STAR K4II,
