,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 1426,Del Men  ,04 17 59.09,-80 12 50.0, 5.69,        ,                                         STAR K2III,
,HR 550 ,Tau2Hyi  ,01 47 46.51,-80 10 36.1, 6.06,W       ,                                          STAR F0IV,
,HR 8663,Xi  Oct  ,22 50 22.90,-80 07 27.1, 5.35,        ,                                          STAR B6IV,
,HR 5336,Eps Aps  ,14 22 22.70,-80 06 32.0, 5.06,        ,                                           STAR B4V,
,HR 8201,         ,21 33 20.59,-80 02 21.1, 6.47,W       ,                                           STAR A0V,
,HR 4206,         ,10 41 51.29,-79 46 59.9, 5.97,        ,                                          STAR B4IV,
,HR 4385,         ,11 18 34.30,-79 40 07.0, 6.35,        ,                                         STAR A8III,
,HR 4268,         ,10 52 27.50,-79 33 33.8, 6.33,        ,                                          STAR K2II,
,HR 3543,         ,08 45 55.20,-79 30 15.8, 5.79,        ,                                         STAR K5III,
,HR 8786,         ,23 08 23.71,-79 28 50.9, 6.12,        ,                                           STAR A3V,
,HR 8849,         ,23 19 08.11,-79 28 22.1, 6.33,        ,                                         STAR K0III,
,HR 8234,         ,21 38 56.21,-79 26 33.0, 6.18,        ,                                          STAR F4IV,
,HR 2689,The Men  ,06 56 34.39,-79 25 13.1, 5.45,        ,                                           STAR B9V,
,HR 2125,Kap Men  ,05 50 16.70,-79 21 41.0, 5.47,        ,                                           STAR B9V,
,HR 4674,Bet Cha  ,12 18 20.69,-79 18 43.9, 4.26,        ,                                           STAR B5V,
,HR 4509,         ,11 42 55.39,-79 18 23.0, 6.39,        ,                                         STAR K0III,
,HR 516 ,Tau1Hyi  ,01 41 21.31,-79 08 53.9, 6.33,W       ,                                         STAR G6III,
,HR 776 ,Mu  Hyi  ,02 31 40.51,-79 06 33.8, 5.28,        ,                                         STAR G8III,
,HR 2919,Eps Men  ,07 25 37.99,-79 05 39.1, 5.53,        ,                                         STAR K2III,
,HR 3524,         ,08 43 12.41,-79 04 10.9, 6.05,        ,                                           STAR A5V,
,HR 5470,Alp Aps  ,14 47 51.60,-79 02 40.9, 3.83,        ,                                         STAR K3III,
,HR 981 ,         ,03 07 31.99,-78 59 21.8, 5.57,W       ,                                          STAR F2II,
,HR 3502,Eta Cha  ,08 41 19.51,-78 57 47.9, 5.47,        ,                                           STAR B8V,
,HR 6102,Gam Aps  ,16 33 27.00,-78 53 49.9, 3.89,        ,                                         STAR G8III,
,HR 1991,Iot Men  ,05 35 36.31,-78 49 14.9, 6.05,        ,                                         STAR B8III,
,HR 8995,         ,23 44 40.70,-78 47 29.0, 5.75,        ,                                         STAR K1III,
